age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
25-34,Computing or Tech,Product Director,Lead a team of PMs - responsible for all of revenue,165000,NA,USD,,"Given 35,000 option to buy @ $4 ;;; targeting a $25 IPO in 3 years",United States,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
45-54,Retail,accountant,,"90,000",0,USD,,,US,Minnesota,Twin Cities,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Graduate Studies Coordinator,,"38,000",0,USD,,,USA,Indiana,South Bend,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Computing or Tech,Project Manager,"Not an engineering project manager or an agile PM, I work for Support","82,000",NA,USD,,,United States,California,Irvine,11 - 20 years,2 - 4 years,College degree,Man,White,,,
25-34,Nonprofits,Clinic Director,,75000,NA,USD,,,United States,Massachusetts,Orange,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
45-54,Law,Government Attorney,,"163,000",0,USD,,,US,Virginia,Arlington,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,"Middle Eastern or Northern African, White",,,
35-44,Business or Consulting,Vice President,,"85,000",10000,USD,,,United States,Maryland,Gaithersburg ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Biotech,Scientific Manager,,"128,000",16000,USD,,,United States of America,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Business or Consulting,Consumer Back Office Representative- Financials,"I provide back office support for customer service, specifically regarding financial concerns.",35360,0,USD,,"Hourly, with variable hours optional (they will frequently offer surplus, so you can clock out early without penalty)",USA,Washington,Redmond,8 - 10 years,1 year or less,College degree,Non-binary,White,,,
55-64,Law,Law Clerk,,"93,000",1500,CAD,,,Canada,,Toronto,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Senior Software Engineer,,"157,000",24000,USD,,,USA,California,San Francisco Bay Area,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Careers Consultant,,"39,000",0,GBP,,,United Kingdom,,Leeds,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
45-54,Freelance/Self-Employed Consultant ,Don't have one. Don't need one. ,"I'm a freelance employee/consultant whose work fills a variety of roles in several different industries and my \side hustle\"" is working on my own projects. (It's kinda whack there wasn't the option to check more than one box in this economy.) """,120000,0,USD,,,USA,California,Los Angeles,11 - 20 years,8 - 10 years,College degree,Man,White,,,
45-54,Engineering or Manufacturing,Executive Assistant,,"65,000",7000,USD,,,USA,,Ann Arbor area,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Assistant Director of Health & Counseling Services,,"60,000",NA,USD,,,USA,New York,Rochester,21 - 30 years,11 - 20 years,Master's degree,Woman,White,,,
