age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
25-34,Media & Digital,reporter,,48000,NA,USD,,,United States,North Carolina,Charlotte,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Computing or Tech,Software test engineer ,,67000,2500,USD,,,United states,Texas,San antonio,21 - 30 years,5-7 years,Master's degree,Woman,Black or African American,,,
45-54,Insurance,"Assoc Director, Corporate Insurance",,"135,000",30000,USD,,,USA,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Nonprofits,general counsel,,"220,000",21000,USD,,,USA,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
45-54,Education (Higher Education),Purchasing Manager,,"65,000",0,USD,,Includes full pension,USA,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Agriculture or Forestry,Marine Biologist,Research professional,"43,000",NA,CAD,,A little more than 30% goes automatically to taxes and insurances,Canada,,"Halifax, Nova Scotia",2 - 4 years,2 - 4 years,College degree,Non-binary,White,,,
45-54,Health care,Veterinary hospital manager,,90000,2000,USD,,,United States,Mississippi,Ocean Springs,31 - 40 years,31 - 40 years,Some college,Woman,White,,,
25-34,Computing or Tech,Product Security Engineer,I work in cybersecurity,"173,000",17300,USD,,I also get RSUs that are not included in my salary estimate.,USA,Washington,Seattle,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
25-34,Art & Design,Multimedia & Graphic Designer,,"43,000",NA,USD,,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Education (Higher Education),career counselor,,"62,500",NA,USD,,,United States,California,Sacramento,8 - 10 years,2 - 4 years,PhD,Woman,White,,,
35-44,Health care,Research Manager,,86000,NA,USD,,,United States,Utah,Salt Lake City,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Health care,Credentialing Coordinator,,"35,000",NA,USD,,,United States,Pennsylvania,Pittsburgh,21 - 30 years,5-7 years,College degree,Woman,White,,,
25-34,Health care,"Medical Lab Technician, ASCP","Same duties as MLS, including blood bank",53000,5000,USD,,,USA,Washington,Silverdale,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Public Librarian,Librarian,,"41,800",0,USD,,,United States,Illinois,Zion,5-7 years,5-7 years,Master's degree,Woman,White,,,
45-54,"Marketing, Advertising & PR",Senior Copyeditor,,86000,1500,USD,,,United States,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
25-34,Nonprofits,Program director ,,"56,500",NA,USD,,,US,Texas,Remote ,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Engineering or Manufacturing,Senior Quality Control Analyst,,"70,000",15000,USD,,,United States,Colorado,Longmont,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Education (Primary/Secondary),Project Manager ,,"78,000",NA,USD,,,USA ,Illinois,Chicago ,8 - 10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White",,,
45-54,Law,Litigation Director & Member,,"125,000",NA,USD,,,United States,District of Columbia,"Washington, D.C. ",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Media & Digital,Communications specialist,,"81,000",0,USD,,,US,Texas,Round Rock,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,Health care,Registered Nurse,,87500,4000,USD,,,United states,Connecticut,Danbury,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Library Assistant,,24752,NA,AUD/NZD,,,Australia,,Sydney,5-7 years,5-7 years,College degree,Other or prefer not to answer,White,,,
under 18,"Accounting, Banking & Finance",McDonalds Crew Member,,40000,NA,USD,,,USA,Minnesota,N/A,1 year or less,1 year or less,High School,Woman,Asian or Asian American,,,
35-44,"Marketing, Advertising & PR",Group Account Director,Part of Account Management / Client Services,"183,000",0,USD,,,US,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Art & Design,Lead graphic designer,,"100,000",0,USD,,,USA,New York,New York ,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Manager,Marketing manager,"30,238",1200,Other,BRL (R$),,Brazil,,Curitiba,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Nonprofits,Development associate,,"48,000",NA,USD,,,United States,Massachusetts,Sudbury,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Enterprise Cyber Security Architect,,"204,000",20000,USD,,,USA,New York,NYC,31 - 40 years,31 - 40 years,Master's degree,Man,White,,,
18-24,Engineering or Manufacturing,R&D Engineer II,Medical Devices,90000,9000,USD,,,USA,Massachusetts,Marlborough ,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Distribution,Senior HR Business Partner,,"128,000",16000,USD,,,USA,Virginia,Williamsburg,11 - 20 years,11 - 20 years,Master's degree,Woman,Native American or Alaska Native,,,
18-24,Education (Higher Education),Project Coordinator,,"52,094",NA,CAD,,,Canada,,Vancouver,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
45-54,Retail,Receiver,,36000,NA,USD,,,USA,New Hampshire,Hanover ,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Client Care Manager,,"76,050",3000,CAD,,,Canada,,Vancouver,11 - 20 years,5-7 years,College degree,Woman,White,,,
35-44,Government and Public Administration,Head of strategy ,,"50,000",0,GBP,,,UK,,Bristol,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
35-44,Computing or Tech,Senior Customer Support Representative,,80000,NA,USD,,,United States,Oregon,Salem (remote for Boston Mass),8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,Social Work,Clinical Supervisor,Social Work Manager in Healthcare,59500,62000,USD,,,USA,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Academic Services Coord,,"40,900",1800,USD,,,USA,Tennessee,Memphis,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Office Support Assistant,,39000,NA,USD,,,United States ,Washington,Port Orchard ,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Computing or Tech,Information Security Engineer 1,,"75,000",0,USD,,,USA,Arkansas,Little Rock,5-7 years,2 - 4 years,Master's degree,Man,White,,,
35-44,Environmental Sciences,Botanist,,"68,000",0,USD,,,USA,California,Sacramento,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Senior Communications Specialist,,"78,000",0,USD,,,United States,Washington,Seattle,5-7 years,5-7 years,Master's degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",BI Analyst,,"95,000",0,USD,,,United States,Utah,Salt Lake City,11 - 20 years,5-7 years,College degree,Man,White,,,
45-54,Education (Primary/Secondary),Superintendent ,,"230,000",0,USD,,,USA,Missouri,St Louis,21 - 30 years,21 - 30 years,PhD,Man,White,,,
45-54,"Accounting, Banking & Finance",Payroll Administrator ,,"56,160",0,USD,,,United States ,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Insurance,Product Manger GL/Umb,I wrote and manage coverage forms for commercial lines,"85,000",12000,USD,,Bonus starts at 15% of salary and can go up and down depending on company and individual performance ,United States,Massachusetts,Worcester ,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
25-34,Computing or Tech,Product Manager,,"75,000",0,CAD,,,Canada,,Vancouver,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Art & Design,Intermediate Architect,,"82,000",2000,USD,,,US,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Recruitment or HR,Human Resources / Payroll,"HR and Payroll department of one, with Bookkeeping, vendor, customer, and retail assistance duties ",45000,0,USD,,,USA,Georgia,Warner Robins ,11 - 20 years,2 - 4 years,High School,Woman,White,,,
35-44,Engineering or Manufacturing,Engineering manager,,"140,000",15000,USD,,,United States of America,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Government and Public Administration,Supervising Staff Attorney,,"97,500",NA,USD,,,USA,Washington,Olympia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Computing or Tech,Prepress Designer,Variable data programming + design for printed materials. ,"53,600",0,USD,,,USA,Texas,Frisco,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Senior Legal Policy Advisor,,"101,000",0,AUD/NZD,,,Australia,,Melbourne,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Computing or Tech,Security engineer,,"170,000",110000,USD,,,USA,District of Columbia,DC,11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Engineering or Manufacturing,Project Engineer ,,"95,000",4000,USD,,Bonuses are based on overall company sales,United States,Pennsylvania,Warminster,8 - 10 years,8 - 10 years,Master's degree,Man,Black or African American,,,
35-44,Law,Counsel,,350,180,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,,,
45-54,Law,Senior Project Manager,,"114,000",1500,USD,,,US,Pennsylvania,Philadelphia,31 - 40 years,8 - 10 years,College degree,Woman,White,,,
25-34,Media & Digital,Program Manager,I work with external developers and act as a co-producer,"112,000",NA,USD,,,US,California,"San Francisco, CA",8 - 10 years,8 - 10 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White",,,
35-44,"Accounting, Banking & Finance",Senior Software Engineer ,,"210,000",40000,USD,,,USA ,New York,New York city ,21 - 30 years,21 - 30 years,Master's degree,Man,White,,,
25-34,"Accounting, Banking & Finance",Financial Analyst ,,"62,000",0,USD,,"There haven't been any bonuses or yearly performance raises in the time I've worked here due to decreased profits two years ago, and COVID last year. This year will be the first year since I've been here that I'll be getting a bonus and a performance raise. ",U.S.,Michigan,Metro Detroit area,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Recruitment or HR,HR manager,,"57,288",10000,USD,,,US,Pennsylvania,Lansdale,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
25-34,Computing or Tech,"Software Engineer, Infrastructure",,"163,000",25000,USD,,"Bonus is RSUs, I gave approximate value at current valuation of the company",United States,California,San Francisco,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),Education Technology Manager,,"657,900",NA,USD,,,United States,Tennessee,Nashville,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
55-64,"Marketing, Advertising & PR",Office manager ,,72000,NA,USD,,12 years with the company ,United States,Illinois,Chicago ,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Utilities & Telecommunications,Software Engineer,,"10,800",NA,EUR,,,Greece,,Athens,5-7 years,2 - 4 years,College degree,Man,White,,,
35-44,Health care,case manager,,"51,500",2000,CAD,,,Canada,,Toronto,11 - 20 years,5-7 years,High School,Woman,White,,,
25-34,Nonprofits,"Senior Manager, Fundraising",,"77,000",2000,USD,,,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Financial Manager,,141000,50000,USD,,,United States,California,Los Angeles,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,Health care,Data Engineer,,"38,890",0,GBP,,,United Kingdom,,Norwich,8 - 10 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer,,,
18-24,Education (Higher Education),Administrative assistant ,,"58,000",NA,USD,,,US ,California,San Francisco ,5-7 years,2 - 4 years,,Woman,Asian or Asian American,,,
,,,,,NA,,,,,,,,,,,,,,
25-34,Computing or Tech,Business Analyst,Data Visualization,"125,000",25000,USD,,25k is stocks,United States,California,San Jose,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
45-54,Business or Consulting,Senior Content Strategist,Medical Device Industry,100000,10000,USD,,,united states,Colorado,Denver,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
18-24,Insurance,Business Intelligence Analyst,,70000,6730,USD,,,United States ,Rhode Island,Johnston ,1 year or less,1 year or less,College degree,Man,White,,,
25-34,Government and Public Administration,Government Contracts Administrator,,"45,166",0,USD,,General Clerk II wage determination,United States,Maryland,Linthicum Heights,11 - 20 years,2 - 4 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin, White",,,
25-34,Law,Associate Attorney,,"76,500",250,USD,,,United States,Connecticut,Rocky Hill,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Law,Attorney,,"85,000",0,USD,,Income varies because I'm self-employed and work on a contingency basis.,USA,Arizona,Phoenix,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Computing or Tech,Project Manager,,"71,000",1500,USD,,,United States of America,District of Columbia,"Washington, DC",5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Business or Consulting,Senior Business Analyst,,"71,000",8000,USD,,,USA,New York,"New York, New York",5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",internal communications senior associate,,"110,000",10000,USD,,,United states,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
25-34,Utilities & Telecommunications,Data Entry and Records Specialist,,"29,120",NA,USD,,,USA,Wisconsin,Madison,5-7 years,1 year or less,Some college,Non-binary,White,,,
35-44,Nonprofits,Communications Director,,"111,000",0,USD,,,United States of America,Maryland,"Takoma Park, MD",11 - 20 years,11 - 20 years,College degree,Woman,White,,,
55-64,Environmental ,Program manager,Environmental engineering services,131000,5000,USD,,,USA ,Maryland,Hunt valley,31 - 40 years,31 - 40 years,Master's degree,Man,White,,,
25-34,Nonprofits,Collections librarian,,"33,280",NA,USD,,,USA,Hawaii,Honolulu,2 - 4 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White",,,
25-34,Digital,Product owner,Think project management for a tech product such as a APP ,"42,860",2000,GBP,,Also a lot of benefits ,united kingdom,,Brighton,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Senior Product Marketing Manager,,"210,000",35000,USD,,,United States,California,San Francisco,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American,,,
45-54,Entertainment,Freelance book editor,Copy/line editor,"50,000",0,USD,,,USA,California,Los Angeles,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
18-24,Computing or Tech,Frontend Engineer,,60,NA,EUR,,,The Netherlands,,Amsterdam,2 - 4 years,2 - 4 years,Some college,Man,White,,,
35-44,Engineering or Manufacturing,Senior Quality Engineer ,,110000,10000,USD,,,United States,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Panel Administrator,Programming Surveys and Maintaining Database,"60,000",5000,USD,,,United States,Colorado,Fort Collins,5-7 years,2 - 4 years,College degree,Woman,White,,,
25-34,Business or Consulting,Manager,,"210,000",10000,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Education (Primary/Secondary),Tutor,"I work for a secondary school full-time. I provide classroom support to 9th and 10th grade teachers, and I also lead after-school sessions with students to reinforce classroom material and practice literacy skills.","35,000",NA,USD,,,United States,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Non-binary,White,,,
25-34,Computing or Tech,Engagement Manager,,140000,25000,USD,,,U.S.,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,Education (Higher Education),Library Director,,"150,000",NA,USD,,,USA ,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Representative,Data entry/processing with a heavy internal/external customer service component,"43,000",1000,CAD,,,Canada,,Vancouver,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Loan Partner,Mortgage Loan Originator Assistant,42000,5400,USD,,Additional compensation is based off how many loans I move to completion. ,USA,Florida,Orlando,5-7 years,1 year or less,College degree,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,Art & Design,Associate creative director,,"117,500",2000,USD,,,United States,California,Los Angeles ,5-7 years,5-7 years,College degree,Man,White,,,
25-34,Law,Case Manager,,"70,000",20000,USD,,,USA,Florida,Miami,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Staff Attorney,,"95,838",10474,USD,,Additional monetary compensation = transit subsidy and rental assistance subsidy,United States,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Computing or Tech,Technical Support,,44900,2000,USD,,,United States,Florida,West Palm Beach,5-7 years,5-7 years,College degree,Man,White,,,
25-34,Nonprofits,Operations Coordinator,,"60,000",0,USD,,,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Some college,Woman,"Black or African American, Hispanic, Latino, or Spanish origin",,,
25-34,Computing or Tech,Senior software engineer,,"150,000",15000,USD,,,Usa,North Carolina,Raleigh,11 - 20 years,8 - 10 years,Some college,Woman,White,,,
45-54,Computing or Tech,Industry Process Consultant ,,110000,11000,USD,,,United States ,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
35-44,Computing or Tech,"Manager, Business Intelligence",,"211,000",109000,USD,,"\additional\"" compensation is in the form of equity - actual value depends on what happens if/when the company goes public""",USA,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Lending Assistant,,"30,000",0,USD,,,USA,Texas,Granbury,11 - 20 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,"Accounting, Banking & Finance",CRM Manager,,57000,NA,GBP,,,UK,,London,5-7 years,2 - 4 years,Some college,Woman,White,,,
35-44,Education (Primary/Secondary),Assistant Principal,,"112,000",0,USD,,,United States,,"Redwood City, CA",2 - 4 years,8 - 10 years,Master's degree,Woman,Black or African American,,,
35-44,Health care,Accessibility lead,I own accessibility processes/outcomes for the company,147000,6000,USD,,,United States,Wisconsin,Madison,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Business or Consulting,Marketing Manager,,"72,000",NA,USD,,,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Computing or Tech,Product Manager II,,157000,0,USD,,,United States,California,San Francisco,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,,,
25-34,Government and Public Administration,General Ledger Accountant,I’m not actually an accountant as I don’t have an accounting degree or certifications but I check over the general ledger for anomalies setting up period-end journal entries and am the right-hand to the CFO checking over financial statements.,"55,000",2500,USD,,Bonuses are based on achievement of goals from the previous year and can be at most 5% of last year’s gross salary.,United States,Washington,Kent,5-7 years,5-7 years,College degree,Woman,White,,,
45-54,Hospitality & Events,Director of Human Resources ,,"102,000",0,USD,,,United States,Tennessee,Memphis,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
45-54,Business or Consulting,Workplace Strategist,,180000,NA,AUD/NZD,,,From New Zealand but on projects across APAC,,Wellington,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Public Information Officer & Community Engagement,,75000,0,USD,,,United States,Ohio,Columbus,11 - 20 years,5-7 years,College degree,Woman,White,,,
35-44,Law,Attorney,,"275,000",20000,USD,,,USA,California,Los Angeles,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Media & Digital,Deputy managing editor,,"78,000",4000,USD,,,France,,Paris,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Project Manager,Real Estate Development department,"80,000",0,USD,,,United States,California,Los Angeles,5-7 years,2 - 4 years,,Man,White,,,
35-44,Engineering or Manufacturing,Mechanical Engineer III,,103000,NA,USD,,,United States ,Maryland,Hunt Valley,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
45-54,Law,Partner,Small litigation firm,96000,0,USD,,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Entertainment,Director of Strategic Research,I work in the analytics department of a sports entertainment company. I wanted to select Entertainment & Tech & Sports as my job area. I do statistical research for a sports team.,"135,000",0,USD,,,Canada,,Torontoo,2 - 4 years,2 - 4 years,PhD,Woman,White,,,
35-44,"Marketing, Advertising & PR",Marketing Director,,"65,000",NA,USD,,,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Education (Higher Education),ESL Teacher,Adult Education,"75,000",NA,CAD,,,Canada,,Ottawa/Gatineau,8 - 10 years,5-7 years,College degree,Woman,Black or African American,,,
25-34,Health care,Dialysis float RN,,"83,000",2400,USD,,,United States,Virginia,Hampton,5-7 years,5-7 years,College degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Public Relations Coordinator,,"59,500",3000,USD,,,United States,Iowa,Des Moines,11 - 20 years,2 - 4 years,College degree,Man,White,,,
25-34,Computing or Tech,Incident Response Consultant,,136500,44000,USD,,Partially RSUs,USA,Georgia,Atlanta,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
25-34,Engineering or Manufacturing,Sales Engineer,,94710,4000,CAD,,,Canada,,Vancouver,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
25-34,Computing or Tech,Quality Assurance Automation Engineer,,"86,500",NA,USD,,,United States,Minnesota,St. Paul,5-7 years,5-7 years,College degree,Man,White,,,
25-34,"Accounting, Banking & Finance",Associate,My scope is investor relations and business development,85000,15000,USD,,,United States,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,,,
45-54,Big Pharma,"Director, Biostatistics ",Clinical research and new drug development ,"220,000",40000,USD,,,USA ,Pennsylvania,North Wales,21 - 30 years,21 - 30 years,PhD,Woman,White,,,
25-34,Nonprofits,Program Coordinator,,48000,0,USD,,,United States,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Tax Paraprofessional ,,"52,000",250,USD,,,USA,Vermont,Burlington,5-7 years,5-7 years,College degree,,,,,
35-44,Research,Senior Scientist,,"77,000",12000,USD,,,Mexico,,Mexico City,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,Computing or Tech,Software Developer,,"67,500",12000,USD,,,United States,Michigan,Grand Rapids,5-7 years,5-7 years,College degree,Man,White,,,
35-44,Utilities & Telecommunications,Executive Assistant to the CEO,,"38,500",3850,GBP,,,UK,,Stafford,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Insurance,Utilization Management,Clinical role within health insurance,"70,000",NA,USD,,,USA,Minnesota,"Eden Prairie, MN",8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Social Work,Supported Living Coach,Social Worker/Case Manager for Adults with Intellectual Disabilities,43000,2500,USD,,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Nonprofits,Service Manager ,,"34,500",0,GBP,,,UK,,Glasgow,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Sales,Sales Manager,,"50,000",3000,USD,,,United States,Oklahoma,Oklahoma City,21 - 30 years,11 - 20 years,College degree,Woman,Native American or Alaska Native,,,
45-54,Computing or Tech,Senior software engineer ,Lead engineer ,154000,75000,USD,,,United States,Washington,Seattle ,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,,,
45-54,Education (Higher Education),Associate Clinical Professor,,85000,15000,USD,,,USA,Pennsylvania,Philadelphia ,31 - 40 years,11 - 20 years,PhD,Woman,White,,,
25-34,Nonprofits,Financial Administrator,,"50,000",0,USD,,,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,Computing or Tech,Sr Project Manager,,"133,000",0,USD,,,Usa,Oregon,"Portland, or",21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
45-54,Computing or Tech,Sr Product Manager,,"183,000",30000,USD,,,United States,,Chicago,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
25-34,Counseling,Licensed Professional Counselor,,"40,000",0,USD,,,United States,Kansas,Overland Park,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Associate Manager ,Market researcher for large CPG company,"115,000",11500,USD,,,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Content manager,,"106,000",10000,USD,,,United States,,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Business or Consulting,Senior Designer,In house designer for financial services firm,"31,000",900,GBP,,,Scotland,,Glasgow,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Nonprofits,Senior Communications Manager,,"74,000",0,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Program analyst,This is a generic title of many people in the fed govt. My more descriptive titles are: Evaluator; Team Lead.,"131,000",1000,USD,,,USA,District of Columbia,Washington DC,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Art & Design,Art Director ,,82500,0,USD,,,United States,Pennsylvania,Philadelphia,21 - 30 years,8 - 10 years,College degree,Woman,Black or African American,,,
25-34,"Accounting, Banking & Finance",Operations Asst,,"41,600",16000,USD,,,USA,North Carolina,Charlotte,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Nonprofits,"Associate Director, Grants and Scientific Programs",I oversee both a research funding program and scientific workshops for researchers in a particular disease.,"95,000",NA,USD,,,United States,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Accounting Manager,,"98,500",2400,USD,,,United States,Missouri,Kansas City,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
25-34,"Accounting, Banking & Finance",Contractor,helping people pay bills and rent due to being impacted by covid.,"28,800",0,USD,,19 an hour,USA,California,Los Angeles,5-7 years,5-7 years,Some college,Woman,Middle Eastern or Northern African,,,
45-54,Engineering or Manufacturing,Product Support Representative,"Duties include technical writing, technical support, and customer service","47,840",2000,USD,,,USA,California,Shingle Springs,21 - 30 years,21 - 30 years,College degree,Man,"Asian or Asian American, White",,,
35-44,Computing or Tech,IT Technician,,"55,000",0,USD,,,United States,Arizona,Scottsdale,11 - 20 years,8 - 10 years,Some college,Man,White,,,
25-34,Engineering or Manufacturing,Office Manager,,"60,000",NA,USD,,,USA,Wisconsin,Waukesha,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Education (Primary/Secondary),High School Teacher,,"67,000",0,USD,,,U.S.,Massachusetts,Attleboro,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Government and Public Administration,Legislative Director,for a State Representative,"70,000",0,USD,,,United States,Oregon,Salem,5-7 years,2 - 4 years,College degree,Woman,White,,,
18-24,,Biologist 1,Laboratory technician type role,35360,NA,USD,,,USA,Illinois,Chicago,1 year or less,1 year or less,College degree,Woman,Asian or Asian American,,,
25-34,Government contractor,Project Manager,,"90,000",2000,USD,,,U.S.,Virginia,Leesburg VA,5-7 years,5-7 years,Master's degree,Woman,White,,,
18-24,Restaurant ,Dishwasher,"Basically, helps everyone in the kitchen. Cuts vegetables-meats, cooks, brings in groceries.",29120,0,USD,,I used to get tips but now they take 3-5 months to come in.,United States ,"Alabama, California",Cerritos,5-7 years,5-7 years,High School,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,Nonprofits,Pastor/Catholic Priest,Catholic Priest for a Diocese,"32,900",3000,USD,,My salary is also supplemented with housing and food provided,USA,Ohio,"Columbus, OH",5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White",,,
